회차년도,회차,검체명,검사명,제조사,Unacceptable rate
2025,01,CU-25-01,-Ketone,Roche,0
2025,01,CU-25-01,-Ketone,Siemens Healthineers,0
2025,01,CU-25-01,-Ketone,Sysmex,0
2025,01,CU-25-01,-Ketone,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-01,-Ketone,YD diagnostics,0.15
2025,01,CU-25-01,-Ketone,㈜디에프아이,0
2025,01,CU-25-01,-Ketone,청도제약,0
2025,01,CU-25-02,-Ketone,,0
2025,01,CU-25-02,-Ketone,Abbott,0
2025,01,CU-25-02,-Ketone,Arkray Inc,0
2025,01,CU-25-02,-Ketone,Beckman Coulter Inc.,0
2025,01,CU-25-02,-Ketone,Eiken,0
2025,01,CU-25-02,-Ketone,Others,5
2025,01,CU-25-02,-Ketone,Roche,0
2025,01,CU-25-02,-Ketone,Siemens Healthineers,0
2025,01,CU-25-02,-Ketone,Sysmex,0
2025,01,CU-25-02,-Ketone,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-02,-Ketone,YD diagnostics,0.29
2025,01,CU-25-02,-Ketone,㈜디에프아이,0.62
2025,01,CU-25-02,-Ketone,청도제약,0
2025,01,CU-25-03,-Ketone,,0
2025,01,CU-25-03,-Ketone,Abbott,3.68
2025,01,CU-25-03,-Ketone,Arkray Inc,40
2025,01,CU-25-03,-Ketone,Beckman Coulter Inc.,0
2025,01,CU-25-03,-Ketone,Eiken,0
2025,01,CU-25-03,-Ketone,Others,2.5
2025,01,CU-25-03,-Ketone,Roche,0
2025,01,CU-25-03,-Ketone,Siemens Healthineers,3.36
2025,01,CU-25-03,-Ketone,Sysmex,0
2025,01,CU-25-03,-Ketone,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-03,-Ketone,YD diagnostics,5.99
2025,01,CU-25-03,-Ketone,㈜디에프아이,2.48
2025,01,CU-25-03,-Ketone,청도제약,0
2025,01,CU-25-01,-Bilirubin,,0
2025,01,CU-25-01,-Bilirubin,Abbott,0
2025,01,CU-25-01,-Bilirubin,Arkray Inc,0
2025,01,CU-25-01,-Bilirubin,Beckman Coulter Inc.,0
2025,01,CU-25-01,-Bilirubin,Eiken,0
2025,01,CU-25-01,-Bilirubin,Others,0
2025,01,CU-25-01,-Bilirubin,Roche,0
2025,01,CU-25-01,-Bilirubin,Siemens Healthineers,0
2025,01,CU-25-01,-Bilirubin,Sysmex,0
2025,01,CU-25-01,-Bilirubin,"URIT Medical Electronic Co., Ltd.",0
2025,01,CU-25-01,-Bilirubin,YD diagnostics,0.15
2025,01,CU-25-01,-Bilirubin,㈜디에프아이,0
2025,01,CU-25-01,-Bilirubin,청도제약,0
2025,01,CU-25-02,-Bilirubin,,0
2025,01,CU-25-02,-Bilirubin,Abbott,0.2
2025,01,CU-25-02,-Bilirubin,Arkray Inc,0
2025,01,CU-25-02,-Bilirubin,Beckman Coulter Inc.,0
