"기관코드","기관명","검체명","검사명","rslt","제조사명","정답","기준SDI","세부SDI"
"1000001618","영광기독신하병원","CU-25-03","-Glucose","1+","YD diagnostics","2+, 3+, 4+","",""
"1000001633","정다운요양병원","CU-25-03","-Glucose","1+","㈜디에프아이","2+, 3+, 4+","",""
"1000001636","재)한국산업보건환경연구소 부설 해상병원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000001680","해병대사령부 의무대","CU-25-03","-pH","5.0","YD diagnostics","6.0, 6.5, 7.0","",""
"1000001680","해병대사령부 의무대","CU-25-03","-Glucose","1+","YD diagnostics","2+, 3+, 4+","",""
"1000001724","정해산업보건연구소중앙의원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000001737","바로본병원","CU-25-03","-Glucose","1+","YD diagnostics","2+, 3+, 4+","",""
"1000001778","호성전주병원","CU-25-03","-pH","5.5","YD diagnostics","6.0, 6.5, 7.0","",""
"1000001779","춘천시노인전문병원","CU-25-03","-Protein","4+","Abbott","±, 1+, 2+","",""
"1000001780","현대요양병원","CU-25-03","-Protein","1+","YD diagnostics","2+, 3+, 4+","",""
"1000001809","한양류마디병원","CU-25-03","-Glucose","1+","YD diagnostics","2+, 3+, 4+","",""
"1000001826","새로운 내과","CU-25-03","-Glucose","1+","Abbott","2+, 3+, 4+","",""
"1000001837","김정백 내과","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000001845","박근태내과의원","CU-25-03","-Protein","4+","㈜디에프아이","1+, 2+, 3+","",""
"1000001870","속편한내과 서울한강점","CU-25-03","-Protein","4+","㈜디에프아이","1+, 2+, 3+","",""
"1000001882","메디컬닥터스 속시원내과의원","CU-25-03","-Protein","1+","Others","2+, 3+, 4+","",""
"1000001950","장편한내과의원","CU-25-03","-pH","7.5","Abbott","6.0, 6.5, 7.0","",""
"1000002074","이승남강남베스트의원","CU-25-03","-Glucose","1+","YD diagnostics","2+, 3+, 4+","",""
"1000002093","안산경희재활요양병원","CU-25-03","-Protein","1+","Others","2+, 3+, 4+","",""
"1000002097","마산우리요양병원","CU-25-03","-pH","8.0","Siemens Healthineers","6.5, 7.0, 7.5","",""
"1000002102","큰사랑 요양병원","CU-25-03","-Protein","1+","Others","2+, 3+, 4+","",""
"1000002148","시립문경요양병원","CU-25-03","-Protein","1+","YD diagnostics","2+, 3+, 4+","",""
"1000002150","제일요양병원","CU-25-03","-Protein","4+","㈜디에프아이","1+, 2+, 3+","",""
"1000002166","푸르메재단 넥슨어린이재활병원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000002196","미래여성병원","CU-25-03","-pH","5.5","YD diagnostics","6.0, 6.5, 7.0","",""
"1000002202","휴병원","CU-25-03","-pH","5.0","YD diagnostics","6.0, 6.5, 7.0","",""
"1000002206","원당연세병원","CU-25-03","-Protein","1+","Others","2+, 3+, 4+","",""
"1000002210","(의)나라의료재단 중앙나라요양병원","CU-25-03","-Protein","1+","YD diagnostics","2+, 3+, 4+","",""
"1000002210","(의)나라의료재단 중앙나라요양병원","CU-25-03","-Glucose","±","YD diagnostics","2+, 3+, 4+","",""
"1000002266","류마부산김승영내과","CU-25-03","-Protein","1+","Others","2+, 3+, 4+","",""
"1000002273","원광아리울 의료법인 원광효도양병원","CU-25-03","-Protein","1+","Others","2+, 3+, 4+","",""
"1000002277","의료법인 상보의료재단 대구경상병원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000002315","하동중앙의원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000002371","김현우내과","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000002431","휴내과","CU-25-03","-pH","5.5","YD diagnostics","6.0, 6.5, 7.0","",""
"1000002479","박성제내과","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000002510","정내과의원","CU-25-03","-Protein","1+","YD diagnostics","2+, 3+, 4+","",""
"1000002540","강동서울의원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000002556","나비샘내과의원","CU-25-03","-Protein","1+","YD diagnostics","2+, 3+, 4+","",""
"1000002570","광주시립제1요양병원","CU-25-03","-Glucose","1+","YD diagnostics","2+, 3+, 4+","",""
"1000002571","이준상내과","CU-25-03","-Protein","-","YD diagnostics","2+, 3+, 4+","",""
"1000002571","이준상내과","CU-25-03","-Glucose","-","YD diagnostics","2+, 3+, 4+","",""
"1000002579","정내과의원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000002594","군산휴내과의원","CU-25-03","-Protein","4+","㈜디에프아이","1+, 2+, 3+","",""
"1000002602","지창준내과의원","CU-25-03","-Protein","4+","㈜디에프아이","1+, 2+, 3+","",""
"1000002640","기독내과의원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000002644","경기웰니스요양병원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
"1000002647","자연속내과의원","CU-25-03","-Protein","4+","㈜디에프아이","1+, 2+, 3+","",""
"1000002697","새항운병원","CU-25-03","-pH","5.5","YD diagnostics","6.0, 6.5, 7.0","",""
"1000002712","세인트마리여성병원","CU-25-03","-Protein","3+","Abbott","±, 1+, 2+","",""
