id,testItem,specimenName,baseCategory,detailCategory,n,mean,median,sd,cv,min,max,decimalPlaces
"urine-stat-row-42","-Specific Gravity","CU-25-01","Sysmex","UC-1000","1","1.012","1.012","","","","","3"
"urine-stat-row-43","-Specific Gravity","CU-25-01","Sysmex","UC-3500","166","1.0129","1.013","0.0007","0.0713","1.011","1.02","3"
"urine-stat-row-44","-Specific Gravity","CU-25-01","URIT Medical Electronic Co., Ltd.","","3","1.02","1.02","0.0000","0","1.02","1.02","3"
"urine-stat-row-45","-Specific Gravity","CU-25-01","URIT Medical Electronic Co., Ltd.","URIT-50","3","1.02","1.02","0.0000","0","1.02","1.02","3"
"urine-stat-row-46","-Specific Gravity","CU-25-01","YD diagnostics","","651","1.0158","1.015","0.0002","0.0242","1.005","1.03","3"
"urine-stat-row-47","-Specific Gravity","CU-25-01","YD diagnostics","육안판독","58","1.023","1.025","0.0030","0.2942","1.012","1.03","3"
"urine-stat-row-48","-Specific Gravity","CU-25-01","YD diagnostics","Uriscan optima","85","1.0157","1.015","0.0033","0.3283","1.005","1.025","3"
"urine-stat-row-49","-Specific Gravity","CU-25-01","YD diagnostics","URiSCAN OPTIMA+","3","1.0167","1.02","0.0058","0.5679","1.01","1.02","3"
"urine-stat-row-50","-Specific Gravity","CU-25-01","YD diagnostics","URiSCAN OPTIMAII","14","1.02","1.02","0.0039","0.3845","1.015","1.025","3"
"urine-stat-row-51","-Specific Gravity","CU-25-01","YD diagnostics","Uriscan pro","382","1.0151","1.015","0.0000","0","1.005","1.025","3"
"urine-stat-row-52","-Specific Gravity","CU-25-01","YD diagnostics","URiSCAN PRO+","6","1.015","1.015","0.0000","0","1.005","1.025","3"
"urine-stat-row-53","-Specific Gravity","CU-25-01","YD diagnostics","Uriscan pro2","31","1.0153","1.015","0.0000","0","1.01","1.02","3"
"urine-stat-row-54","-Specific Gravity","CU-25-01","YD diagnostics","Uriscan super plus","72","1.013","1.013","0.0010","0.0959","1.011","1.017","3"
"urine-stat-row-55","-Specific Gravity","CU-25-02","","","1,816","1.0086","1.01","0.0044","0.437","0.01","1.03","3"
"urine-stat-row-56","-Specific Gravity","CU-25-02","㈜디에프아이","","157","1.0117","1.01","0.0025","0.251","1.005","1.03","3"
"urine-stat-row-57","-Specific Gravity","CU-25-02","㈜디에프아이","디유리더 300","14","1.0132","1.015","0.0032","0.3125","1.01","1.02","3"
"urine-stat-row-58","-Specific Gravity","CU-25-02","㈜디에프아이","디유리더 720","88","1.0102","1.01","0.0000","0","1.005","1.015","3"
"urine-stat-row-59","-Specific Gravity","CU-25-02","㈜디에프아이","디유리더 R-50","12","1.0125","1.013","0.0026","0.2579","1.01","1.015","3"
"urine-stat-row-60","-Specific Gravity","CU-25-02","㈜디에프아이","디유리더 R-600S","28","1.0152","1.015","0.0000","0","1.01","1.03","3"
"urine-stat-row-61","-Specific Gravity","CU-25-02","㈜디에프아이","유리닥터","4","1.0113","1.01","0.0000","0","1.01","1.015","3"
"urine-stat-row-62","-Specific Gravity","CU-25-02","㈜디에프아이","육안판독","11","1.0123","1.01","0.0026","0.258","1.01","1.015","3"
"urine-stat-row-63","-Specific Gravity","CU-25-02","청도제약","","1","1.005","1.005","","","","","3"
"urine-stat-row-64","-Specific Gravity","CU-25-02","청도제약","Anyscan 720","1","1.005","1.005","","","","","3"
"urine-stat-row-65","-Specific Gravity","CU-25-02","Abbott","","483","1.0063","1.005","0.0000","0","1","1.025","3"
"urine-stat-row-66","-Specific Gravity","CU-25-02","Abbott","육안판독","49","1.0101","1.01","0.0000","0","1","1.02","3"
"urine-stat-row-67","-Specific Gravity","CU-25-02","Abbott","Others","2","1.005","","0.0000","0","1.005","1.005","3"
"urine-stat-row-68","-Specific Gravity","CU-25-02","Abbott","UroMeter120","94","1.0056","1.005","0.0000","0","1","1.01","3"
