"회차년도","회차","프로그램명","검체","검체명","검사코드","하위검사명","기준분류명","세분류명","기관수","중간값","최소값","최대값","평균_out","표준편차_out","변동계수","단위","결과25","결과75"
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,"","",1796,6.700000,5.50000,11.00000,6.690000,0.190000,2.800000,g/dL,6.60000,6.80000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,"",1785,6.700000,5.50000,11.00000,6.690000,0.180000,2.750000,g/dL,6.60000,6.80000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Abbott,17,6.700000,6.50000,6.90000,6.710000,0.120000,1.790000,g/dL,6.60000,6.80000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Beckman Coulter Inc.,240,6.600000,6.10000,7.10000,6.610000,0.120000,1.820000,g/dL,6.50000,6.70000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Bion,47,6.800000,5.70000,11.00000,6.810000,0.300000,4.380000,g/dL,6.60000,7.00000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Biosystems,120,6.800000,6.40000,7.50000,6.820000,0.160000,2.290000,g/dL,6.70000,6.90000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Chema Diagnostica,2,,6.30000,6.70000,6.500000,0.280000,4.350000,g/dL,6.30000,6.70000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Diasys,22,6.800000,5.60000,7.70000,6.750000,0.250000,3.640000,g/dL,6.50000,6.90000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Elitechgroup,15,6.700000,6.20000,6.90000,6.700000,0.200000,2.930000,g/dL,6.60000,6.90000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Erba diagnostics,9,6.600000,6.40000,7.60000,6.720000,0.370000,5.560000,g/dL,6.60000,6.70000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Fujifilm Corporation,1,6.300000,,,6.300000,,,g/dL,,
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Genematrix(구 진매트릭스바이오),4,6.700000,6.40000,6.90000,6.680000,0.210000,3.090000,g/dL,6.40000,6.90000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,JW바이오사이언스㈜(구 JW중외메디칼),37,6.900000,6.00000,7.80000,6.900000,0.150000,2.180000,g/dL,6.80000,7.00000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,LC Diagnostics,12,6.700000,6.00000,6.90000,6.600000,0.270000,4.140000,g/dL,6.40000,6.80000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Ortho Clinical Diagnostics,12,6.200000,6.00000,6.30000,6.210000,0.100000,1.600000,g/dL,6.10000,6.30000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,PZ Cormay,79,6.800000,5.60000,7.20000,6.760000,0.200000,3.030000,g/dL,6.70000,6.90000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Randox,1,7.300000,,,7.300000,,,g/dL,,
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Roche,345,6.600000,5.90000,7.60000,6.560000,0.120000,1.840000,g/dL,6.50000,6.60000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,Sekisui Medical,346,6.700000,5.50000,7.60000,6.700000,0.150000,2.170000,g/dL,6.60000,6.80000
"2025","02",일반화학검사,"1",CC-25-04,T2710,Total protein,Biuret method,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",158,6.900000,6.00000,7.30000,6.850000,0.180000,2.610000,g/dL,6.70000,7.00000
