"회차년도","회차","프로그램명","검체","검체명","검사코드","하위검사명","기준분류명","세분류명","기관수","중간값","최소값","최대값","평균_out","표준편차_out","변동계수","단위","결과25","결과75"
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,"","",1783,7.000000,3.00000,8.60000,7.060000,0.210000,2.980000,g/dL,6.90000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,"",1770,7.000000,3.00000,8.60000,7.060000,0.210000,2.970000,g/dL,6.90000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Abbott,17,7.100000,6.90000,7.30000,7.060000,0.070000,1.030000,g/dL,7.00000,7.10000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Beckman Coulter Inc.,240,7.000000,6.30000,7.60000,6.980000,0.130000,1.840000,g/dL,6.90000,7.10000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Bion,44,7.200000,6.00000,7.70000,7.170000,0.200000,2.790000,g/dL,7.10000,7.30000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Biosystems,122,7.100000,4.40000,8.60000,7.160000,0.200000,2.860000,g/dL,7.00000,7.30000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Chema Diagnostica,1,7.000000,,,7.000000,,,g/dL,,
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Diasys,22,7.100000,6.50000,8.00000,7.150000,0.350000,4.870000,g/dL,7.00000,7.40000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Elitechgroup,16,7.100000,7.00000,7.30000,7.150000,0.120000,1.610000,g/dL,7.10000,7.30000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Erba diagnostics,7,6.900000,6.20000,7.30000,6.860000,0.400000,5.760000,g/dL,6.50000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Fujifilm Corporation,1,6.400000,,,6.400000,,,g/dL,,
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Genematrix(구 진매트릭스바이오),4,7.100000,6.90000,7.20000,7.050000,0.130000,1.830000,g/dL,6.90000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,JW바이오사이언스㈜(구 JW중외메디칼),37,7.400000,7.10000,7.70000,7.410000,0.140000,1.930000,g/dL,7.30000,7.50000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,LC Diagnostics,13,7.100000,6.10000,7.30000,7.040000,0.210000,2.990000,g/dL,6.90000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Ortho Clinical Diagnostics,12,6.600000,6.30000,6.90000,6.610000,0.160000,2.370000,g/dL,6.60000,6.70000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,PZ Cormay,65,7.000000,6.00000,7.70000,7.040000,0.230000,3.220000,g/dL,6.90000,7.10000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Randox,1,6.900000,,,6.900000,,,g/dL,,
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Roche,340,6.900000,6.50000,7.60000,6.940000,0.130000,1.920000,g/dL,6.90000,7.00000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Sekisui Medical,343,7.100000,6.00000,7.90000,7.060000,0.150000,2.170000,g/dL,7.00000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",155,7.300000,6.50000,8.10000,7.290000,0.220000,3.020000,g/dL,7.20000,7.40000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Siemens Healthineers,42,7.100000,6.90000,7.60000,7.110000,0.110000,1.550000,g/dL,7.00000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,"SNIBE Co.,Ltd",4,6.900000,6.70000,6.90000,6.830000,0.100000,1.400000,g/dL,6.70000,6.90000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Stanbio,28,7.000000,3.00000,7.60000,7.070000,0.230000,3.260000,g/dL,6.90000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Thermo Fisher Scientific,7,7.000000,6.60000,7.30000,6.970000,0.230000,3.280000,g/dL,6.80000,7.10000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,Wako,133,7.100000,6.60000,7.60000,7.070000,0.170000,2.420000,g/dL,7.00000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,신양화학,6,7.100000,7.00000,7.20000,7.070000,0.080000,1.160000,g/dL,7.00000,7.10000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,아산제약㈜,15,7.100000,6.60000,7.40000,7.060000,0.210000,2.970000,g/dL,7.00000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,㈜신화메디,18,6.900000,6.50000,7.70000,6.950000,0.180000,2.650000,g/dL,6.90000,7.10000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,㈜아이비디랩,11,7.100000,6.90000,7.30000,7.100000,0.120000,1.670000,g/dL,7.00000,7.10000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,㈜에스더블유헬스케어(구. 이든하이텍),5,7.200000,7.10000,7.70000,7.320000,0.240000,3.260000,g/dL,7.20000,7.40000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,㈜제이앤티 바이오(구 ㈜젠바디),3,7.000000,6.80000,7.40000,7.070000,0.310000,4.320000,g/dL,6.80000,7.40000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,㈜지디엘코리아,46,7.100000,6.70000,7.70000,7.060000,0.180000,2.590000,g/dL,7.00000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Biuret method,㈜티씨엠생명과학,12,7.200000,7.00000,7.50000,7.190000,0.160000,2.180000,g/dL,7.00000,7.30000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Other Method,"",13,7.000000,3.70000,7.50000,7.040000,0.260000,3.760000,g/dL,6.90000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Other Method,(주)대광메디텍,1,6.900000,,,6.900000,,,g/dL,,
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Other Method,Others,10,7.100000,3.70000,7.50000,7.100000,0.250000,3.590000,g/dL,6.90000,7.20000
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Other Method,"Rayto Life and Analytical  Sciences Co., Ltd.",1,6.600000,,,6.600000,,,g/dL,,
"2025","01",일반화학검사,"1",CC-25-01,T2710,Total protein,Other Method,주식회사 한랩,1,7.100000,,,7.100000,,,g/dL,,
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,"","",1783,4.100000,1.80000,5.30000,4.090000,0.110000,2.750000,g/dL,4.00000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,"",1770,4.100000,1.80000,5.30000,4.090000,0.110000,2.740000,g/dL,4.00000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Abbott,17,3.900000,3.80000,4.10000,3.900000,0.050000,1.320000,g/dL,3.90000,3.90000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Beckman Coulter Inc.,240,4.100000,3.60000,4.40000,4.070000,0.070000,1.800000,g/dL,4.00000,4.10000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Bion,44,4.100000,3.80000,4.50000,4.130000,0.140000,3.430000,g/dL,4.00000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Biosystems,122,4.200000,3.30000,5.30000,4.180000,0.140000,3.230000,g/dL,4.10000,4.30000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Chema Diagnostica,1,4.300000,,,4.300000,,,g/dL,,
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Diasys,22,4.100000,3.70000,5.20000,4.150000,0.120000,2.980000,g/dL,4.10000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Elitechgroup,16,4.100000,3.90000,4.20000,4.080000,0.100000,2.400000,g/dL,4.00000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Erba diagnostics,7,3.900000,3.30000,4.10000,3.810000,0.280000,7.330000,g/dL,3.70000,4.10000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Fujifilm Corporation,1,3.700000,,,3.700000,,,g/dL,,
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Genematrix(구 진매트릭스바이오),4,4.100000,3.90000,4.50000,4.130000,0.260000,6.380000,g/dL,3.90000,4.50000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,JW바이오사이언스㈜(구 JW중외메디칼),37,4.300000,3.90000,4.50000,4.300000,0.100000,2.360000,g/dL,4.20000,4.40000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,LC Diagnostics,13,4.100000,3.60000,4.20000,4.060000,0.130000,3.230000,g/dL,4.00000,4.10000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Ortho Clinical Diagnostics,12,4.000000,3.90000,4.10000,3.980000,0.070000,1.800000,g/dL,3.90000,4.00000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,PZ Cormay,65,4.100000,3.50000,4.70000,4.120000,0.150000,3.670000,g/dL,4.00000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Randox,1,4.000000,,,4.000000,,,g/dL,,
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Roche,340,4.100000,3.60000,4.50000,4.080000,0.090000,2.120000,g/dL,4.00000,4.10000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Sekisui Medical,343,4.100000,2.40000,4.50000,4.080000,0.090000,2.170000,g/dL,4.00000,4.10000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",155,4.100000,3.70000,4.90000,4.110000,0.120000,2.870000,g/dL,4.00000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Siemens Healthineers,42,4.100000,3.90000,4.40000,4.090000,0.080000,1.910000,g/dL,4.00000,4.10000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,"SNIBE Co.,Ltd",4,4.200000,3.90000,4.20000,4.100000,0.140000,3.450000,g/dL,3.90000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Stanbio,28,4.100000,1.80000,4.60000,4.190000,0.190000,4.600000,g/dL,4.00000,4.30000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Thermo Fisher Scientific,7,4.100000,3.90000,4.30000,4.070000,0.150000,3.670000,g/dL,3.90000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,Wako,133,4.100000,2.50000,5.30000,4.050000,0.070000,1.840000,g/dL,4.00000,4.10000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,신양화학,6,4.100000,4.00000,4.20000,4.100000,0.090000,2.180000,g/dL,4.00000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,아산제약㈜,15,4.100000,3.80000,4.20000,4.070000,0.120000,2.850000,g/dL,4.00000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,㈜신화메디,18,4.000000,3.80000,4.50000,4.010000,0.060000,1.540000,g/dL,4.00000,4.10000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,㈜아이비디랩,11,4.100000,2.70000,4.20000,4.110000,0.070000,1.800000,g/dL,4.00000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,㈜에스더블유헬스케어(구. 이든하이텍),5,4.200000,4.10000,4.30000,4.180000,0.080000,2.000000,g/dL,4.10000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,㈜제이앤티 바이오(구 ㈜젠바디),3,4.100000,4.00000,4.30000,4.130000,0.150000,3.700000,g/dL,4.00000,4.30000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,㈜지디엘코리아,46,4.100000,3.80000,4.50000,4.050000,0.110000,2.610000,g/dL,4.00000,4.10000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Biuret method,㈜티씨엠생명과학,12,4.200000,4.00000,4.50000,4.180000,0.130000,3.200000,g/dL,4.10000,4.30000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Other Method,"",13,4.100000,3.70000,4.40000,4.060000,0.210000,5.180000,g/dL,4.00000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Other Method,(주)대광메디텍,1,4.000000,,,4.000000,,,g/dL,,
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Other Method,Others,10,4.200000,3.70000,4.40000,4.090000,0.230000,5.700000,g/dL,4.00000,4.20000
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Other Method,"Rayto Life and Analytical  Sciences Co., Ltd.",1,3.900000,,,3.900000,,,g/dL,,
"2025","01",일반화학검사,"2",CC-25-02,T2710,Total protein,Other Method,주식회사 한랩,1,4.000000,,,4.000000,,,g/dL,,
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,"","",1783,5.200000,2.20000,7.10000,5.210000,0.140000,2.730000,g/dL,5.10000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,"",1770,5.200000,2.20000,7.10000,5.210000,0.140000,2.720000,g/dL,5.10000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Abbott,17,5.100000,5.00000,5.20000,5.080000,0.080000,1.480000,g/dL,5.00000,5.10000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Beckman Coulter Inc.,240,5.200000,4.70000,5.60000,5.160000,0.100000,1.910000,g/dL,5.10000,5.20000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Bion,44,5.300000,4.70000,5.80000,5.280000,0.190000,3.530000,g/dL,5.10000,5.40000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Biosystems,122,5.300000,3.20000,7.00000,5.330000,0.160000,3.000000,g/dL,5.20000,5.40000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Chema Diagnostica,1,5.300000,,,5.300000,,,g/dL,,
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Diasys,22,5.200000,4.70000,6.10000,5.240000,0.210000,3.980000,g/dL,5.10000,5.50000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Elitechgroup,16,5.200000,5.00000,5.40000,5.230000,0.120000,2.290000,g/dL,5.10000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Erba diagnostics,7,5.000000,4.40000,5.30000,4.910000,0.320000,6.480000,g/dL,4.60000,5.20000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Fujifilm Corporation,1,4.600000,,,4.600000,,,g/dL,,
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Genematrix(구 진매트릭스바이오),4,5.200000,5.10000,5.30000,5.180000,0.100000,1.850000,g/dL,5.10000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,JW바이오사이언스㈜(구 JW중외메디칼),37,5.500000,5.10000,5.80000,5.480000,0.160000,2.890000,g/dL,5.40000,5.60000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,LC Diagnostics,13,5.200000,4.60000,5.40000,5.180000,0.150000,2.830000,g/dL,5.10000,5.20000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Ortho Clinical Diagnostics,12,5.000000,4.80000,5.20000,4.980000,0.110000,2.290000,g/dL,4.90000,5.00000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,PZ Cormay,65,5.300000,4.20000,5.80000,5.260000,0.180000,3.420000,g/dL,5.20000,5.40000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Randox,1,5.300000,,,5.300000,,,g/dL,,
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Roche,340,5.200000,4.80000,5.70000,5.160000,0.110000,2.090000,g/dL,5.10000,5.20000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Sekisui Medical,343,5.200000,4.50000,7.10000,5.210000,0.110000,2.140000,g/dL,5.10000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",155,5.300000,4.80000,6.00000,5.290000,0.140000,2.610000,g/dL,5.20000,5.40000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Siemens Healthineers,42,5.200000,5.00000,5.60000,5.220000,0.090000,1.780000,g/dL,5.20000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,"SNIBE Co.,Ltd",4,5.200000,5.10000,5.30000,5.180000,0.100000,1.850000,g/dL,5.10000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Stanbio,28,5.300000,2.20000,5.70000,5.300000,0.210000,4.040000,g/dL,5.10000,5.40000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Thermo Fisher Scientific,7,5.200000,4.80000,5.50000,5.140000,0.250000,4.870000,g/dL,4.90000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,Wako,133,5.200000,4.10000,5.70000,5.190000,0.090000,1.810000,g/dL,5.10000,5.20000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,신양화학,6,5.300000,5.10000,5.30000,5.250000,0.080000,1.590000,g/dL,5.20000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,아산제약㈜,15,5.200000,4.80000,5.40000,5.210000,0.190000,3.590000,g/dL,5.10000,5.40000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,㈜신화메디,18,5.200000,4.80000,5.60000,5.170000,0.080000,1.530000,g/dL,5.10000,5.20000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,㈜아이비디랩,11,5.300000,5.10000,5.50000,5.270000,0.120000,2.260000,g/dL,5.20000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,㈜에스더블유헬스케어(구. 이든하이텍),5,5.300000,5.20000,5.60000,5.360000,0.150000,2.830000,g/dL,5.30000,5.40000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,㈜제이앤티 바이오(구 ㈜젠바디),3,5.200000,5.10000,5.50000,5.270000,0.210000,3.950000,g/dL,5.10000,5.50000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,㈜지디엘코리아,46,5.200000,5.00000,5.70000,5.200000,0.120000,2.370000,g/dL,5.10000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Biuret method,㈜티씨엠생명과학,12,5.400000,5.20000,5.50000,5.340000,0.110000,2.030000,g/dL,5.20000,5.40000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Other Method,"",13,5.200000,4.90000,5.50000,5.200000,0.170000,3.240000,g/dL,5.20000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Other Method,(주)대광메디텍,1,5.200000,,,5.200000,,,g/dL,,
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Other Method,Others,10,5.200000,4.90000,5.50000,5.280000,0.110000,2.070000,g/dL,5.20000,5.30000
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Other Method,"Rayto Life and Analytical  Sciences Co., Ltd.",1,4.900000,,,4.900000,,,g/dL,,
"2025","01",일반화학검사,"3",CC-25-03,T2710,Total protein,Other Method,주식회사 한랩,1,5.100000,,,5.100000,,,g/dL,,
"2025","01",일반화학검사,"1",CC-25-01,T2720,Iron (Fe),"","",475,240.000000,197.00000,399.00000,241.900000,6.600000,2.700000,μg/dL,238.00000,245.00000
"2025","01",일반화학검사,"1",CC-25-01,T2720,Iron (Fe),Bathophenanthroline without deproteinization,"",89,251.000000,239.00000,399.00000,251.900000,4.600000,1.800000,μg/dL,250.00000,255.00000
"2025","01",일반화학검사,"1",CC-25-01,T2720,Iron (Fe),Bathophenanthroline without deproteinization,Wako,89,251.000000,239.00000,399.00000,251.900000,4.600000,1.800000,μg/dL,250.00000,255.00000
"2025","01",일반화학검사,"1",CC-25-01,T2720,Iron (Fe),Ferene with deproteinization,"",1,197.000000,,,197.000000,,,μg/dL,,
"2025","01",일반화학검사,"1",CC-25-01,T2720,Iron (Fe),Ferene with deproteinization,㈜제이앤티 바이오(구 ㈜젠바디),1,197.000000,,,197.000000,,,μg/dL,,
"2025","01",일반화학검사,"1",CC-25-01,T2720,Iron (Fe),Ferene without deproteinization,"",13,248.000000,225.00000,285.00000,252.800000,15.900000,6.300000,μg/dL,245.00000,266.00000
"2025","01",일반화학검사,"1",CC-25-01,T2720,Iron (Fe),Ferene without deproteinization,Abbott,13,248.000000,225.00000,285.00000,252.800000,15.900000,6.300000,μg/dL,245.00000,266.00000
"2025","01",일반화학검사,"1",CC-25-01,T2720,Iron (Fe),Ferrozine without deproteinization,"",204,239.000000,217.00000,254.00000,239.600000,3.600000,1.500000,μg/dL,237.00000,242.00000
"2025","01",일반화학검사,"1",CC-25-01,T2720,Iron (Fe),Ferrozine without deproteinization,Biosystems,3,217.000000,217.00000,224.00000,219.300000,4.000000,1.800000,μg/dL,217.00000,224.00000
